Tests,Spinner Value,Slot Number,Output,Value,,,,S1,S2,S3,S4,S5,S6,S7
1,Yellow,S2,Lose,0,,,Yellow,10,,,,,,10
2,Blue,S2,Lose,0,,,Cyan,4,3,2,,2,3,4
3,Yellow,S4,Lose,0,,,Blue,6,,,4,,,6
4,Cyan,S1,Win,4,,,Red,7,3,,,,3,7
5,Blue,S4,Win,4,,,,,,,,,,
6,Blue,S2,Lose,0,,,,,,,,,,
7,Yellow,S4,Lose,0,,,,,,,,,,
8,Yellow,S1,Win,10,,,,,,,,,,
9,Cyan,S6,Win,4,,,,,,,,,,
10,Yellow,S6,Lose,0,,,,,,,,,,
11,Purple,,Lose,0,,,,,,,,,,
12,Cyan,S5,Lose,2,,,,,,,,,,
13,Cyan,S4,Lose,0,,,,,,,,,,
14,Yellow,S5,Lose,0,,,,,,,,,,
15,Red,S3,Lose,0,,,,,,,,,,
16,Purple,,Lose,0,,,,,,,,,,
17,Red,S2,Win,3,,,,,,,,,,
18,Cyan,S4,Lose,0,,,,,,,,,,
19,Yellow,S5,Lose,0,,,,,,,,,,
20,Red,S4,Lose,,,,,,,,,,,
21,Yellow,S6,Lose,,,,,,,,,,,
22,Cyan,S3,Lose,,,,,,,,,,,
23,Yellow,S2,Lose,,,,,,,,,,,
24,Blue,S5,Lose,,,,,,,,,,,
,Yellow,S7,Win,,,,,,,,,,,
,Red,S7,Win,,,,,,,,,,,
,Red,S4,Lose,,,,,,,,,,,
,Yellow,S5,Lose,,,,,,,,,,,
,Red,S6,Win,,,,,,,,,,,
,Cyan,S4,Lose,,,,,,,,,,,
,Yellow,S1,Win,,,,,,,,,,,
,Red,S3,Lose,,,,,,,,,,,
,Blue,S6,Lose,,,,,,,,,,,
,Yellow,S6,Lose,,,,,,,,,,,
,Yellow,S4,Lose,,,,,,,,,,,
,Yellow,S5,Lose,,,,,,,,,,,
,Red,S5,Lose,,,,,,,,,,,
,Red,S6,Lose,,,,,,,,,,,
